city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Rensselaer,Rensselaer,NY,New York,36083,Rensselaer,42.6465,-73.7328,9330,1133.3,shape,FALSE,TRUE,America/New_York,3,12144,1840000394
Hyrum,Hyrum,UT,Utah,49005,Cache,41.6325,-111.8445,9330,578.6,shape,FALSE,TRUE,America/Denver,3,84319,1840018699
Ecorse,Ecorse,MI,Michigan,26163,Wayne,42.2489,-83.1399,9328,1269.5,shape,FALSE,TRUE,America/Detroit,3,48229,1840003972
South Amboy,South Amboy,NJ,New Jersey,34023,Middlesex,40.4852,-74.2831,9320,2340.1,shape,FALSE,TRUE,America/New_York,2,8879,1840001333
Helena Valley Southeast,Helena Valley Southeast,MT,Montana,30049,Lewis and Clark,46.6219,-111.8973,9316,167.5,shape,FALSE,TRUE,America/Denver,4,59635 59602 59604,1840074075
Mechanicsburg,Mechanicsburg,PA,Pennsylvania,42041,Cumberland,40.2115,-77.0060,9310,1491.2,shape,FALSE,TRUE,America/New_York,3,17055,1840001388
Lansdowne,Lansdowne,MD,Maryland,24005,Baltimore,39.2365,-76.6659,9310,1579.1,shape,FALSE,FALSE,America/New_York,3,21227,1840026625
Woodway,Woodway,TX,Texas,48309,McLennan,31.4988,-97.2314,9310,545.8,shape,FALSE,TRUE,America/Chicago,3,76712,1840022142
Plymouth,Plymouth,MI,Michigan,26163,Wayne,42.3718,-83.4680,9308,1624.8,shape,FALSE,TRUE,America/Detroit,3,48170,1840003959
Sheffield,Sheffield,AL,Alabama,1033,Colbert,34.7570,-87.6977,9305,516.7,shape,FALSE,TRUE,America/Chicago,3,35660,1840015537
Highland Park,Highland Park,MI,Michigan,26163,Wayne,42.4052,-83.0977,9304,1209.2,shape,FALSE,TRUE,America/Detroit,3,48203,1840003982
Springs,Springs,NY,New York,36103,Suffolk,41.0212,-72.1584,9301,423.6,shape,FALSE,FALSE,America/New_York,3,11937,1840005102
Winchester,Winchester,TN,Tennessee,47051,Franklin,35.1898,-86.1075,9299,334.8,shape,FALSE,TRUE,America/Chicago,3,37398,1840015466
Fairview,Fairview,TN,Tennessee,47187,Williamson,35.9815,-87.1291,9299,200.3,shape,FALSE,TRUE,America/Chicago,3,37062,1840013379
Augusta,Augusta,KS,Kansas,20015,Butler,37.6955,-96.9919,9299,846.4,shape,FALSE,TRUE,America/Chicago,3,67002 67010,1840001675
Rancho Mission Viejo,Rancho Mission Viejo,CA,California,6059,Orange,33.5140,-117.5618,9298,95.0,shape,FALSE,FALSE,America/Los_Angeles,4,92694,1840147893
Mahomet,Mahomet,IL,Illinois,17019,Champaign,40.1888,-88.3901,9297,369.2,shape,FALSE,TRUE,America/Chicago,3,61822 61853,1840012232
Leisure World,Leisure World,MD,Maryland,24031,Montgomery,39.1023,-77.0689,9291,3179.9,shape,FALSE,TRUE,America/New_York,2,20906,1840073671
Quakertown,Quakertown,PA,Pennsylvania,42017,Bucks,40.4398,-75.3455,9285,1761.8,shape,FALSE,TRUE,America/New_York,3,18951,1840001310
Leonia,Leonia,NJ,New Jersey,34003,Bergen,40.8638,-73.9900,9283,2353.2,shape,FALSE,TRUE,America/New_York,2,7605,1840000904
Riverdale,Riverdale,UT,Utah,49057,Weber,41.1732,-112.0023,9279,779.5,shape,FALSE,TRUE,America/Denver,3,84405,1840020131
Roanoke,Roanoke,TX,Texas,48121,Denton,33.0144,-97.2276,9270,519.6,shape,FALSE,TRUE,America/Chicago,3,76262,1840020641
Sugar Grove,Sugar Grove,IL,Illinois,17089,Kane,41.7759,-88.4481,9266,339.0,shape,FALSE,TRUE,America/Chicago,3,60554,1840011355
Rio del Mar,Rio del Mar,CA,California,6087,Santa Cruz,36.9607,-121.8807,9264,1192.3,shape,FALSE,FALSE,America/Los_Angeles,3,95003,1840028179
St. Francis,St. Francis,WI,Wisconsin,55079,Milwaukee,42.9716,-87.8730,9254,1396.6,shape,FALSE,TRUE,America/Chicago,3,53235,1840003049
Southside,Southside,AL,Alabama,1055,Etowah,33.9007,-86.0238,9253,187.0,shape,FALSE,TRUE,America/Chicago,3,35907,1840015604
Chillicothe,Chillicothe,MO,Missouri,29117,Livingston,39.7953,-93.5499,9253,500.8,shape,FALSE,TRUE,America/Chicago,3,64601,1840007302
Laurens,Laurens,SC,South Carolina,45059,Laurens,34.5022,-82.0207,9251,362.9,shape,FALSE,TRUE,America/New_York,3,29360,1840014668
Forestdale,Forestdale,AL,Alabama,1073,Jefferson,33.5737,-86.9000,9251,529.4,shape,FALSE,FALSE,America/Chicago,3,35214 35005 35231,1840013723
Dunn Loring,Dunn Loring,VA,Virginia,51059,Fairfax,38.8945,-77.2315,9251,1509.8,shape,FALSE,FALSE,America/New_York,3,22027 22180 22182,1840006017
Fort Polk South,Fort Polk South,LA,Louisiana,22115,Vernon,31.0512,-93.2159,9248,581.1,shape,TRUE,TRUE,America/Chicago,3,70656 71459,1840073837
Ashland,Ashland,NJ,New Jersey,34007,Camden,39.8782,-75.0085,9248,1228.1,shape,FALSE,FALSE,America/New_York,3,08003 08034,1840033467
Waseca,Waseca,MN,Minnesota,27161,Waseca,44.0827,-93.5029,9237,830.3,shape,FALSE,TRUE,America/Chicago,3,56093,1840010030
Aliquippa,Aliquippa,PA,Pennsylvania,42007,Beaver,40.6155,-80.2547,9237,850.4,shape,FALSE,TRUE,America/New_York,3,15001,1840001009
Shawano,Shawano,WI,Wisconsin,55115,Shawano,44.7748,-88.5843,9227,532.1,shape,FALSE,TRUE,America/Chicago,3,54166,1840002266
Charlotte,Charlotte,MI,Michigan,26045,Eaton,42.5662,-84.8304,9224,552.1,shape,FALSE,TRUE,America/Detroit,3,48813,1840003107
Flanders,Flanders,NJ,New Jersey,34027,Morris,40.8412,-74.7102,9221,479.5,shape,FALSE,FALSE,America/New_York,3,7836,1840033277
Burlington,Burlington,WA,Washington,53057,Skagit,48.4676,-122.3298,9220,831.6,shape,FALSE,TRUE,America/Los_Angeles,3,98233,1840018367
Harleysville,Harleysville,PA,Pennsylvania,42091,Montgomery,40.2792,-75.3873,9219,852.1,shape,FALSE,FALSE,America/New_York,3,19438 19441,1840005463
Washington Terrace,Washington Terrace,UT,Utah,49057,Weber,41.1683,-111.9783,9215,1754.9,shape,FALSE,TRUE,America/Denver,3,84405,1840021343
Frankfort Square,Frankfort Square,IL,Illinois,17197,Will,41.5219,-87.8031,9214,1425.2,shape,FALSE,FALSE,America/Chicago,3,60423,1840029897
Canal Winchester,Canal Winchester,OH,Ohio,39049,Franklin,39.8437,-82.8126,9209,453.1,shape,FALSE,TRUE,America/New_York,3,43110,1840010524
Grants,Grants,NM,New Mexico,35006,Cibola,35.1538,-107.8335,9208,238.4,shape,FALSE,TRUE,America/Denver,3,87020,1840020452
Oak Hills Place,Oak Hills Place,LA,Louisiana,22033,East Baton Rouge,30.3690,-91.0887,9201,1141.3,shape,FALSE,FALSE,America/Chicago,3,70810 70884,1840031107
Rockingham,Rockingham,NC,North Carolina,37153,Richmond,34.9386,-79.7608,9200,464.8,shape,FALSE,TRUE,America/New_York,3,28379 28380,1840014617
Flowery Branch,Flowery Branch,GA,Georgia,13139,Hall,34.1712,-83.9142,9194,492.1,shape,FALSE,TRUE,America/New_York,3,30542 30502,1840013611
Pike Road,Pike Road,AL,Alabama,1101,Montgomery,32.2939,-86.0900,9193,104.3,shape,FALSE,TRUE,America/Chicago,3,36064 36013,1840017000
Seven Corners,Seven Corners,VA,Virginia,51059,Fairfax,38.8658,-77.1445,9191,5209.7,shape,FALSE,FALSE,America/New_York,2,22044 22041,1840006038
Richmond Heights,Richmond Heights,MO,Missouri,29189,St. Louis,38.6309,-90.3332,9188,1548.8,shape,FALSE,TRUE,America/Chicago,3,63117,1840009769
Willowbrook,Willowbrook,IL,Illinois,17043,DuPage,41.7641,-87.9454,9178,1376.9,shape,FALSE,TRUE,America/Chicago,3,60527,1840011409
Palm Beach,Palm Beach,FL,Florida,12099,Palm Beach,26.6945,-80.0408,9175,932.9,shape,FALSE,TRUE,America/New_York,3,33480,1840017267
Beecher,Beecher,MI,Michigan,26049,Genesee,43.0903,-83.7039,9171,602.0,shape,FALSE,FALSE,America/Detroit,3,48458 48505,1840004343
Benton Harbor,Benton Harbor,MI,Michigan,26021,Berrien,42.1159,-86.4488,9171,808.3,shape,FALSE,TRUE,America/Detroit,3,49022 49023,1840003215
Coral Hills,Coral Hills,MD,Maryland,24033,Prince George's,38.8706,-76.9215,9169,2168.1,shape,FALSE,FALSE,America/New_York,2,20743,1840005950
Bridgeport,Bridgeport,WV,West Virginia,54033,Harrison,39.3036,-80.2478,9165,333.9,shape,FALSE,TRUE,America/New_York,3,26330,1840005766
Glens Falls North,Glens Falls North,NY,New York,36113,Warren,43.3350,-73.6832,9160,422.2,shape,FALSE,TRUE,America/New_York,3,12804,1840073682
Pine Lake Park,Pine Lake Park,NJ,New Jersey,34029,Ocean,40.0017,-74.2595,9148,1423.9,shape,FALSE,FALSE,America/New_York,3,08757 08759,1840024354
Tiburon,Tiburon,CA,California,6041,Marin,37.8854,-122.4637,9146,788.2,shape,FALSE,TRUE,America/Los_Angeles,3,94920,1840022521
